,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
8,"Ryvita - Thins - Sweet Chilli, 5 Thin (8g)",145,26  72,3  16,5  12,4,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-15
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
1,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
2,"Maris Piper - Potato, Raw, 300 gm",216,51  89,0  1,5  10,0,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
3,"chicken soup, 700 serving(s)",530,37  30,11  20,62  50,11,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
4,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
5,"Ryvita - Thins - Sweet Chilli, 5 Thin (8g)",145,26  72,3  16,5  12,4,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
6,"Halo Top - Strawberry Cheesecake, 1 container (2 cups ea.)",360,40  46,12  31,20  23,32,12,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
7,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-16
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
1,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
2,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
3,"chicken soup, 500 serving(s)",379,26  30,8  20,44  50,8,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
4,"Maris Piper - Potato, Raw, 350 gm",252,60  89,0  1,6  10,0,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
5,"chicken chilli, 600 serving(s)",339,34  42,6  17,33  41,15,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
6,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
8,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-17
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
1,"chicken soup, 500 serving(s)",379,26  30,8  20,44  50,8,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
2,"Maximuscle Natural Bar - Coffee Hazelnut, 40 gram",160,14  36,7  43,8  21,12,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
3,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
4,"Jaffa - Jaffa Cake, 1 cake",46,9  75,1  20,1  5,6,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
5,"chicken chilli, 600 serving(s)",339,34  42,6  17,33  41,15,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
6,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
7,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
9,"Cadbury - bourneville classic dark chocolate , 12.5 gram",66,8  47,4  50,1  3,0,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-18
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
1,"Maximuscle Natural Bar - Coffee Hazelnut, 40 gram",160,14  36,7  43,8  21,12,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
2,"Costco - Kiwi, 200 g",122,30  87,1  7,2  6,18,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
3,"chicken soup, 500 serving(s)",379,26  30,8  20,44  50,8,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
4,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
5,"Cadbury - bourneville classic dark chocolate , 37.5 gram",198,23  47,11  50,2  3,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
6,"chicken chilli, 600 serving(s)",339,34  42,6  17,33  41,15,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
7,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
9,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
10,"Sunpat - Smooth Peanut Butter 454grams, 30 g",182,5  10,14  73,8  17,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-19
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
1,"Maximuscle Natural Bar - Coffee Hazelnut, 40 gram",160,14  36,7  43,8  21,12,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
2,"Costco - Kiwi, 200 g",122,30  87,1  7,2  6,18,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
3,"chicken soup, 500 serving(s)",379,26  30,8  20,44  50,8,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
4,"Kroger - Rice Cake, 2 cake",80,16  79,1  11,2  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
5,"Cadbury - bourneville classic dark chocolate , 37.5 gram",198,23  47,11  50,2  3,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
6,"Sunpat - Smooth Peanut Butter 454grams, 30 g",182,5  10,14  73,8  17,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
7,"Kroger - Rice Cake, 6 cake",240,48  79,3  11,6  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
8,"chicken chilli, 600 serving(s)",339,34  42,6  17,33  41,15,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
9,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-20
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 500 g",260,69  96,1  3,1  1,52,12,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
1,"chicken chilli, 500 serving(s)",282,28  42,5  17,27  41,12,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
2,"chicken soup, 300 serving(s)",227,16  30,5  20,27  50,5,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
3,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
4,"Jaffa - Jaffa Cake, 1 cake",46,9  75,1  20,1  5,6,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
5,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
6,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
7,"Kroger - Rice Cake, 5 cake",200,40  79,3  11,5  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
8,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-21
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
1,"chicken chilli, 700 serving(s)",395,39  42,7  17,38  41,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
2,"Ryvita - Thins - Sweet Chilli, 3 Thin (8g)",87,16  72,2  16,3  12,2,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
3,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
4,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
5,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
6,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
7,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
8,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
9,"Kroger - Rice Cake, 5 cake",200,40  79,3  11,5  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-22
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
1,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
2,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
3,"chicken chilli, 700 serving(s)",395,39  42,7  17,38  41,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
4,"Kroger - Rice Cake, 5 cake",200,40  79,3  11,5  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
5,"chicken soup, 1000 serving(s)",612,50  35,12  18,68  47,17,13,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
6,"Kroger - Rice Cake, 5 cake",200,40  79,3  11,5  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
7,"Jaffa - Jaffa Cake, 1 cake",46,9  75,1  20,1  5,6,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-23
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
1,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
2,"Eggs - Whole, raw, 2 medium",129,1  2,9  63,11  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
3,"chicken chilli, 700 serving(s)",346,38  46,6  16,31  38,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
4,"Kroger - Rice Cake, 2 cake",80,16  79,1  11,2  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
5,"chicken soup, 500 serving(s)",306,25  35,6  18,34  47,8,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
6,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
7,"Kroger - Rice Cake, 10 cake",400,80  79,5  11,10  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
8,"Eggs - Whole, raw, 2 medium",129,1  2,9  63,11  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
9,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-24
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Fibre One - Lemon Drizzle, 2 Bar",174,24  64,5  32,2  4,16,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-25
1,"Carbs - Carbs and Carbs, 25 g",100,25  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-25
2,"chicken chilli, 700 serving(s)",346,38  46,6  16,31  38,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-25
3,"chicken soup, 600 serving(s)",367,30  35,7  18,41  47,10,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-25
4,"ALGIDA - Big Milk Michałki, 1 container (250,00 gram)",575,73  52,28  44,6  4,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-25
5,"My Protein - Impact Whey Salted Caramel, 75 g",303,4  5,5  16,60  79,4,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-25
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 400 g",208,55  96,1  3,1  1,42,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
1,"chicken chilli, 700 serving(s)",346,38  46,6  16,31  38,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
2,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
3,"Chicken - Breast, Raw, 150 g",165,0  0,2  7,47  93,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
4,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
5,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
6,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-26
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Fibre One - Lemon Drizzle, 2 Bar",174,24  64,5  32,2  4,16,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-27
1,"chicken chilli, 800 serving(s)",395,44  46,7  16,36  38,20,13,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-27
2,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-27
3,"Chicken - Breast, Raw, 100 g",110,0  0,1  7,31  93,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-27
4,"umar - kebabs, 100 g",183,7  15,12  57,13  28,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-27
5,"chicken soup, 700 serving(s)",428,35  35,8  18,48  47,12,9,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-27
6,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-27
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 400 g",208,55  96,1  3,1  1,42,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-28
1,"chicken chilli, 800 serving(s)",395,44  46,7  16,36  38,20,13,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-28
2,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-28
3,"chicken soup, 700 serving(s)",428,35  35,8  18,48  47,12,9,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-28
4,"umar - kebabs, 100 g",183,7  15,12  57,13  28,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-28
5,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-28
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 400 g",208,55  96,1  3,1  1,42,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-29
1,"chicken soup, 500 serving(s)",306,25  35,6  18,34  47,8,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-29
2,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-29
3,"chicken chilli, 700 serving(s)",346,38  46,6  16,31  38,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-29
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Kind - Almond Bar, 1 bar",190,15  29,12  52,10  19,8,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
1,"chicken chilli, 700 serving(s)",346,38  46,6  16,31  38,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
2,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
3,"Kellogg's - Biscuit Moments Chocolate, 1 pack (2 biscotti)",98,18  72,3  22,2  6,7,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
4,"chicken chilli, 600 serving(s)",299,33  44,2  7,36  49,15,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
5,"Warburton - Wholemeal Medium (400g), 2 slice",110,18  69,1  12,5  19,1,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
6,"slow cooked chicken, 300 serving(s)",241,11  19,2  9,42  72,5,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
7,"Halo Top - Strawberry Cheesecake, 1 container (2 cups ea.)",360,40  46,12  31,20  23,32,12,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-31
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Kind - Almond Bar, 1 bar",190,15  29,12  52,10  19,8,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
1,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
2,"chicken chilli, 700 serving(s)",349,38  44,3  7,42  49,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
3,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
4,"slow cooked chicken, 300 serving(s)",241,11  19,2  9,42  72,5,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
5,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
6,"My Protein - Impact Whey Salted Caramel, 25 g",101,1  5,2  16,20  79,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
7,"four seasons - four berry medley, 200 gram",75,11  71,1  18,2  11,11,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
8,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
9,"Kind - Almond Bar, 1 bar",190,15  29,12  52,10  19,8,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
10,"Kellogg's - Biscuit Moments Chocolate, 1 pack (2 biscotti)",98,18  72,3  22,2  6,7,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-01
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Kind - Almond Bar, 1 bar",190,15  29,12  52,10  19,8,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
1,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
2,"chicken chilli, 700 serving(s)",349,38  44,3  7,42  49,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
3,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
4,"Flora Light - New, 30 g",84,1  4,9  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
5,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
6,"slow cooked chicken, 300 serving(s)",241,11  19,2  9,42  72,5,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
7,"The Cheese Emporium - Mature Lighter Cheese, 60 g",192,1  3,13  63,17  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-02
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Kind - Almond Bar, 1 bar",190,15  29,12  52,10  19,8,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
1,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
2,"chicken chilli, 700 serving(s)",349,38  44,3  7,42  49,17,11,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
3,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
4,"Flora Light - New, 30 g",84,1  4,9  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
5,"Kellogg's - Biscuit Moments Chocolate, 1 pack (2 biscotti)",98,18  72,3  22,2  6,7,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
6,"slow cooked chicken, 300 serving(s)",241,11  19,2  9,42  72,5,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
8,"four seasons - four berry medley, 200 gram",75,11  71,1  18,2  11,11,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
9,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-03
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-04
1,"Kellogg's - Biscuit Moments Chocolate, 1 pack (2 biscotti)",98,18  72,3  22,2  6,7,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-04
